LINEA;CAF;NOMBRE MOMENTANEO;CIUDAD;DEPARTAMENTO;FO DIA ACTUAL;ÁREA TOTAL;AREA REQUERIDA;ÁREA SALA DE ESPERA;Sala Espera;ÁREA ALMACENAMIENTO;No CAJAS;Modulos Front - Hoy;No CAJAS HOLGURA;CAPACIDAD SALA DE ESPERA;Sillas;CANON;CANON X FO;CANON X M2;CONSORCIO;CAPACIDAD;HOLGURA
AMB;CAF 223;SUPIA;CANDELARIA (ATL);ATLANTICO;189;61;99,83;17;41,86;38,9;2;2;1;16;9,75; $ 3.793.109 ; $ 20.071 ; $ 62.182 ;NO;200;11
AMB;CAF 224;BERNA;VITERBO;CALDAS;0;97,72;89,91;32,9;36,83;40,5;3;3;1;32;34; $ 3.035.023 ; $ -   ; $ 31.058 ;NO;300;300
AMB;CAF 225;PALESTINA;TOLU;SUCRE;66;79,4;94,73;22,85;39,85;47,89;3;2;0;20;9,25; $ 1.639.200 ; $ 24.772 ; $ 20.645 ;NO;300;234
AMB;CAF 226;SAF MORROA;RIOSUCIO;CALDAS;0;52,84;121,61;21,4;43,75;23;2;3;0;8;41; $ -   ; $ -   ; $ -   ;SI;200;200
AMB;CAF 227;SULTANA;BARRANQUILLA;ATLANTICO;174;158;112,36;57;46,82;71;3;3;1;44;11; $ 8.140.160 ; $ 46.887 ; $ 51.520 ;NO;300;126
AMB;CAF 228;VITERBO;EL PASO;CESAR;184;30,72;100,45;10,36;42,11;16,92;2;2;0;6;39; $ 1.950.000 ; $ 10.603 ; $ 63.477 ;NO;200;16
AMB;CAF 229;SAF TOLU;LA TEBAIDA;QUINDIO;0;77,2;112,35;24,41;41,11;30,14;3;5;2;20;38; $ -   ; $ -   ; $ -   ;SI;300;300
AMB;CAF 230;RIOSUCIO;GUAMAL;MAGDALENA;190;72,9;103,90;26,52;43,47;38,1;2;3;2;20;41; $ 546.697 ; $ 2.876 ; $ 7.499 ;NO;200;10
AMB;CAF 231;SAF EL PUEBLO;CARTAGENA;BOLIVAR;186;178,9;103,00;35;43,11;42,51;2;3;2;32;10; $ -   ; $ -   ; $ -   ;SI;200;14
AMB;CAF 232;LA LOMA;LOS PALMITOS;SUCRE;111;52;92,06;18,04;38,79;30;2;2;1;16;9; $ 826.881 ; $ 7.449 ; $ 15.902 ;NO;200;89
AMB;CAF 233;LA TEBAIDA;BARRANCO DE LOBA;BOLIVAR;163;98;97,69;39,4;41,02;48,78;2;2;1;28;9,5; $ 3.167.359 ; $ 19.440 ; $ 32.320 ;NO;200;37
AMB;CAF 234;GUAMAL;PINILLOS;BOLIVAR;183;98,73;105,51;37,23;44,11;49,6;3;3;2;20;41; $ 6.540.468 ; $ 35.738 ; $ 66.246 ;NO;300;117
AMB;CAF 235;SAF EL POZON;BOGOTA;CUNDINAMARCA;0;84,46;147,16;NA;51,03;84,46;4;3;0;NA;48; $ -   ; $ -   ; $ -   ;SI;400;400
AMB;CAF 236;SAF LOS PALMITOS;TOLUVIEJO;SUCRE;57;128,4;96,44;41,7;40,52;73,45;4;2;1;32;9,25; $ -   ; $ -   ; $ -   ;SI;400;343
AMB;CAF 237;SAF BARRANCO DE LOBA;GALERAS;SUCRE;118;83,38;103,71;13,62;43,40;34,96;3;3;1;12;10; $ -   ; $ -   ; $ -   ;SI;300;182
AMB;CAF 238;LOS PINILLOS;LORICA;CORDOBA;157;149,5;165,69;42,7;56,31;46;5;4;0;36;54; $ 6.270.778 ; $ 39.869 ; $ 41.945 ;NO;500;343
AMB;CAF 239;CENTRAL DOMI BOGOTA;VALLEDUPAR;CESAR;178;73,36;91,94;29,7;38,74;39,9;3;2;0;16;36; $ 3.077.085 ; $ 17.261 ; $ 41.945 ;NO;300;122
AMB;CAF 240;SAF TOLUVIEJO;CAMPO DE LA CRUZ;ATLANTICO;179;127;97,49;53,1;40,94;63,1;3;2;2;20;9,5; $ -   ; $ -   ; $ -   ;SI;300;121
AMB;CAF 241;SAF GALERAS;LA JAGUA DE IBIRICO;CESAR;169;89,7;85,49;20,8;36,19;66,9;2;2;0;8;33; $ -   ; $ -   ; $ -   ;SI;200;31
AMB;CAF 242;SAF LORICA;TURBANA;BOLIVAR;173;39,6;96,73;11,19;40,64;23,87;2;2;1;8;9,5; $ 2.613.600 ; $ 15.107 ; $ 66.000 ;NO;200;27
AMB;CAF 243;ALFONSO LOPEZ;BOGOTA;CUNDINAMARCA;211;50,72;98,15;18,7;41,20;30,64;3;2;1;9;38; $ 3.265.912 ; $ 15.479 ; $ 64.391 ;NO;300;89
